SYMBOL,AVG_TTL_TRD_QNTY,NEW_TTL_TRD_QNTY,PCT_DEVIATION
20MICRONS,128799.6,57629,-55.26
21STCENMGM,10432.9,4765,-54.33
5PAISA,79211.8,25974,-67.21
AAATECH,13779.2,5484,-60.2
AARON,7590.5,29224,285.01
AARTECH,385572.8,182119,-52.77
AARTIDRUGS,414255.3,84053,-79.71
AARVI,8679.4,14567,67.83
ABB,216260.4,456678,111.17
ABBOTINDIA,10910.5,2513,-76.97
ABCAPITAL,4337877.1,2037858,-53.02
ABDL,424507.3,1955511,360.65
ABFRL,11680625.8,4710275,-59.67
ABSLPSE,265428.3,114987,-56.68
ACEINTEG,9319.4,3811,-59.11
ACL,16941.8,31721,87.24
ADANIENSOL,2640707.1,857740,-67.52
ADANIGREEN,1428626.4,5134094,259.37
ADOR,35745.3,5983,-83.26
ADSL,128799.8,440097,241.69
ADVANIHOTR,40127.2,85113,112.11
AEROENTER,310215.6,626186,101.86
AETHER,151425.2,65834,-56.52
AFFLE,321247.8,157240,-51.05
AFIL,1445085.3,722365,-50.01
AGARIND,18019.7,7946,-55.9
AGIIL,235226.4,89048,-62.14
AGRITECH,7002.3,18077,158.16
AHLADA,17404.0,3829,-78.0
AHLUCONT,68941.6,349261,406.6
AIAENG,64161.9,14149,-77.95
AIROLAM,22006.8,7222,-67.18
AJANTPHARM,189646.7,446241,135.3
AJAXENGG,230124.8,102583,-55.42
AJMERA,37865.8,163851,332.72
AKASH,8323.3,4095,-50.8
AKG,812235.3,120138,-85.21
AKSHARCHEM,24160.1,10762,-55.46
AKZOINDIA,291208.2,44670,-84.66
ALEMBICLTD,1072547.3,366539,-65.83
ALIVUS,81774.6,304270,272.08
ALKYLAMINE,173676.4,66117,-61.93
ALOKINDS,56742014.7,17275434,-69.55
ALPA,35173.2,13380,-61.96
AMBICAAGAR,41605.6,2631,-93.68
AMJLAND,68313.9,34132,-50.04
AMRUTANJAN,30471.3,6816,-77.63
ANANDRATHI,274681.7,4087689,1388.15
ANDHRAPAP,295351.9,92964,-68.52
ANMOL,69821.1,15742,-77.45
ANUHPHR,70945.9,257701,263.24
APARINDS,76858.3,29532,-61.58
APCOTEXIND,23004.0,39222,70.5
APEX,93795.9,19761,-78.93
APLLTD,1754185.2,661872,-62.27
APOLLO,3464223.7,5854302,68.99
APOLLOTYRE,1769144.6,768813,-56.54
APOLSINHOT,4725.9,64662,1268.25
ARE&M,604643.6,270144,-55.32
ARIES,122486.9,33289,-72.82
ARIHANTSUP,65287.6,582444,792.12
ARMANFIN,24555.8,56308,129.31
ARVEE,9204.8,1421,-84.56
ARVIND,333183.3,138687,-58.38
ASAHIINDIA,2016398.7,502765,-75.07
ASHIANA,37694.7,232870,517.78
ASHOKAMET,48282.8,17997,-62.73
ASHOKLEY,4206029.4,9111254,116.62
ASTERDM,3545262.8,722955,-79.61
ASTRAZEN,41540.0,10623,-74.43
ATHERENERG,696236.6,2192694,214.94
ATLANTAA,28510.1,50256,76.27
AURIONPRO,287848.7,74743,-74.03
AUTOIETF,1203441.2,336149,-72.07
AVALON,218621.6,443506,102.86
AVTNPL,77589.7,357732,361.06
AWFIS,238937.4,80093,-66.48
AXISBNKETF,1001.1,55119,5405.84
AXISCETF,3517.8,720,-79.53
AXISGOLD,651713.4,305975,-53.05
AXISNIFTY,4281.5,9739,127.47
AXISTECETF,2453.2,246787,9959.8
AXITA,2254365.2,861174,-61.8
AXSENSEX,3845.4,12800,232.87
AYMSYNTEX,53039.5,15106,-71.52
BAFNAPH,15012.11,4456,-70.32
BAJAJCON,2938365.6,759714,-74.15
BAJAJELEC,73478.1,20721,-71.8
BAJAJHCARE,203643.7,680285,234.06
BAJAJHIND,15701288.3,6721609,-57.19
BAJAJINDEF,307326.6,122400,-60.17
BALAXI,610901.3,301449,-50.66
BALKRISHNA,71582.0,20218,-71.76
BALMLAWRIE,216924.9,108449,-50.01
BALPHARMA,15687.5,6767,-56.86
BANDHANBNK,7769042.6,2551186,-67.16
BANG,46711.6,13951,-70.13
BANKA,12360.8,3643,-70.53
BANKBETF,27603.0,4461,-83.84
BANKETF,2466.9,802,-67.49
BANKETFADD,486893.4,4162,-99.15
BANKIETF,1106035.8,2545856,130.18
BANKPSU,24911.6,1873,-92.48
BANSALWIRE,144688.7,484161,234.62
BANSWRAS,94272.9,13754,-85.41
BAYERCROP,63179.4,25130,-60.22
BBNPNBETF,1792.3,52,-97.1
BBTC,46228.0,16094,-65.19
BBTCL,6183.4,45886,642.08
BCONCEPTS,8228.4,3461,-57.94
BEARDSELL,207301.9,33732,-83.73
BECTORFOOD,147355.1,63805,-56.7
BEDMUTHA,5998.6,133299,2122.17
BESTAGRO,100545.1,34494,-65.69
BFINVEST,56345.9,22397,-60.25
BHAGCHEM,63887.6,26701,-58.21
BHAGERIA,113734.7,32935,-71.04
BHAGYANGR,77747.1,119637,53.88
BHARATGEAR,14110.5,6672,-52.72
BHARATRAS,7316.1,3078,-57.93
BHEL,6927715.7,2826291,-59.2
BIKAJI,163166.1,56822,-65.18
BIRLAMONEY,120179.8,279939,132.93
BIRLANU,7138.7,17974,151.78
BLACKBUCK,518852.7,207405,-60.03
BLKASHYAP,528507.9,262845,-50.27
BLS,2504170.5,843099,-66.33
BLUEDART,104016.2,15798,-84.81
BLUEJET,333446.3,690898,107.2
BODALCHEM,571714.0,169943,-70.27
BOMDYEING,1200169.8,529388,-55.89
BOROLTD,91966.1,420123,356.82
BORORENEW,759565.1,340627,-55.15
BOROSCI,107694.5,167776,55.79
BPL,56557.2,118004,108.65
BSE500IETF,267192.5,86715,-67.55
BSHSL,32489.7,12950,-60.14
BSLNIFTY,666474.9,272079,-59.18
BTML,603573.5,156451,-74.08
BUTTERFLY,9033.6,15109,67.25
CAMPUS,1614313.4,567986,-64.82
CANBK,18137122.9,27221603,50.09
CANFINHOME,291750.8,94599,-67.58
CAPITALSFB,53924.1,23433,-56.54
CAPLIPOINT,108834.9,52421,-51.83
CARTRADE,528716.2,1154448,118.35
CARYSIL,101982.4,46554,-54.35
CASTROLIND,3048940.3,24882915,716.12
CCHHL,572712.4,162083,-71.7
CEATLTD,169435.7,369069,117.82
CELEBRITY,133433.1,602322,351.4
CENTENKA,17038.3,7853,-53.91
CENTUM,17272.1,7081,-59.0
CHALET,165752.7,53973,-67.44
CHENNPETRO,4574174.3,926261,-79.75
CHEVIOT,5297.4,1135,-78.57
CINELINE,19637.9,44662,127.43
CLEAN,53168.9,131775,147.84
COLPAL,480987.1,729605,51.69
COMMOIETF,61047.7,210226,244.36
COMSYN,160629.3,65371,-59.3
CONFIPET,1806201.5,348476,-80.71
CONS,4822.5,989,-79.49
CONSUMBEES,89235.6,1023911,1047.42
CONSUMER,161497.3,47533,-70.57
CONTROLPR,41778.6,370499,786.82
CPCAP,8155.9,3445,-57.76
CRAFTSMAN,81319.1,7330,-90.99
CREATIVE,23489.7,6804,-71.03
CREDITACC,1120421.4,398634,-64.42
CREST,21482.7,2456,-88.57
CRIZAC,47163068.33,13337934,-71.72
CROMPTON,1562076.0,2419646,54.9
CROWN,17236.6,43184,150.54
CSLFINANCE,19558.0,7968,-59.26
CUB,3507185.5,1437063,-59.03
CUPID,2362786.7,10137323,329.04
CYBERMEDIA,12683.2,23834,87.92
DABUR,3529566.1,1428794,-59.52
DAMODARIND,27644.4,8509,-69.22
DATAMATICS,475581.2,1299508,173.25
DBCORP,145234.7,64200,-55.8
DBEIL,78313.1,36397,-53.52
DBSTOCKBRO,66353.2,24779,-62.66
DCM,254876.4,93031,-63.5
DCMSHRIRAM,1278821.7,109447,-91.44
DCXINDIA,1327708.2,462518,-65.16
DDEVPLSTIK,119367.4,3705771,3004.51
DEEDEV,182106.2,72033,-60.44
DEEPAKFERT,609443.1,184886,-69.66
DEEPAKNTR,157876.4,61975,-60.74
DEEPINDS,111271.0,456549,310.3
DENORA,10989.4,17686,60.94
DENTA,140780.8,372724,164.75
DEVIT,111017.9,19529,-82.41
DHAMPURSUG,202613.5,84586,-58.25
DIACABS,8106336.6,2739037,-66.21
DIAMONDYD,59534.8,24897,-58.18
DICIND,2253.7,966,-57.14
DIFFNKG,370554.3,846046,128.32
DIGIDRIVE,30969.4,9617,-68.95
DIVISLAB,337606.6,968781,186.96
DIXON,557454.0,223601,-59.89
DLF,2223633.2,3604322,62.09
DMART,681848.3,2032633,198.11
DMCC,33790.0,117339,247.26
DNAMEDIA,100769.9,45706,-54.64
DODLA,78390.0,37440,-52.24
DOLATALGO,328203.6,117838,-64.1
DOLLAR,111091.7,54161,-51.25
DONEAR,147785.0,70853,-52.06
DSSL,23350.0,99783,327.34
DYCL,223957.9,339308,51.51
DYNAMATECH,5699.0,16027,181.22
DYNPRO,272318.3,87407,-67.9
EBANKNIFTY,1338.5,533,-60.18
EBBETF0430,26984.6,75571,180.05
EICHERMOT,299223.4,503684,68.33
EIEL,11170377.5,24832350,122.31
EIHOTEL,405156.9,155326,-61.66
EIMCOELECO,45931.4,16132,-64.88
ELDEHSG,1977.2,855,-56.76
ELGIEQUIP,1312710.2,273753,-79.15
EMAMIPAP,120251.7,31929,-73.45
EMUDHRA,83425.3,129163,54.82
ENDURANCE,365745.6,76903,-78.97
ENIL,30578.7,10276,-66.39
EPIGRAL,28218.9,227008,704.45
EQUAL50,669.89,41,-93.88
EQUAL50ADD,4182.0,10815,158.61
EQUITASBNK,5718181.0,9011173,57.59
ESAFSFB,1263560.3,385204,-69.51
ESG,64215.2,24811,-61.36
ESILVER,126411.1,16100,-87.26
ETERNAL,18213112.1,50184664,175.54
EUROTEXIND,3010.1,5549,84.35
EVEREADY,371735.1,862091,131.91
EXICOM,657388.4,292639,-55.48
EXPLEOSOL,30956.2,7639,-75.32
FAIRCHEMOR,23588.7,5373,-77.22
FAZE3Q,130054.7,455449,250.2
FEDFINA,542156.0,1321788,143.8
FIBERWEB,51198.9,80995,58.2
FILATEX,3657333.5,683482,-81.31
FINEORG,24059.4,41154,71.05
FINIETF,958327.1,421589,-56.01
FLAIR,426162.6,1002023,135.13
FMGOETZE,447964.6,77333,-82.74
FORCEMOT,214187.0,82706,-61.39
FOSECOIND,3842.7,1050,-72.68
FUSION,713447.7,312117,-56.25
GALAPREC,27082.2,41681,53.91
GALLANTT,423924.0,181382,-57.21
GANESHBE,209986.2,90816,-56.75
GANESHHOUC,116096.7,49092,-57.71
GANGAFORGE,925004.4,257445,-72.17
GANGESSECU,4647.4,1106,-76.2
GARFIBRES,58608.3,27677,-52.78
GENUSPAPER,595344.2,171756,-71.15
GENUSPOWER,615399.5,2073386,236.92
GEPIL,473895.1,1110578,134.35
GESHIP,633024.5,200343,-68.35
GICHSGFIN,153288.2,388516,153.45
GICRE,594931.6,1154248,94.01
GIPCL,865871.8,372708,-56.96
GKWLIMITED,4092.5,284,-93.06
GLOBALVECT,68170.9,14789,-78.31
GLOSTERLTD,14744.1,1820,-87.66
GMBREW,43499.1,93129,114.09
GMDCLTD,1732735.9,817049,-52.85
GMRP&UI,2505787.1,812598,-67.57
GNFC,480016.5,143501,-70.1
GOACARBON,12743.1,38868,205.01
GODFRYPHLP,203329.0,445827,119.26
GODIGIT,753300.1,3136093,316.31
GODREJIND,252582.0,116468,-53.89
GOKEX,596257.4,130269,-78.15
GOLD1,944753.8,439701,-53.46
GOLD360,8587.5,3325,-61.28
GOLDTECH,114498.8,25673,-77.58
GRANULES,514272.9,792132,54.03
GRAPHITE,618737.3,3901462,530.55
GRASIM,562175.0,2913912,418.33
GREENLAM,40846.4,14472,-64.57
GRINDWELL,81017.1,38554,-52.41
GRINFRA,29505.9,14439,-51.06
GROWWGOLD,140633.6,230027,63.56
GROWWNET,2482350.57,380840,-84.66
GROWWSLVR,105961.1,506974,378.45
GSEC10ABSL,357.67,6158,1621.7
GSEC10IETF,8135.4,653,-91.97
GSPL,672871.7,279322,-58.49
GSS,157197.4,57138,-63.65
GUJALKALI,57208.3,27825,-51.36
GUJAPOLLO,16894.7,200879,1089.01
GUJGASLTD,517343.7,135996,-73.71
GUJTHEM,170717.3,415672,143.49
GULFOILLUB,135223.9,56748,-58.03
GULFPETRO,133895.7,53019,-60.4
GVT&D,330809.6,992218,199.94
HAPPYFORGE,13728.5,30398,121.42
HARIOMPIPE,1424812.3,249267,-82.51
HARSHA,70829.5,441661,523.56
HBLENGINE,3623397.6,625557,-82.74
HCG,253311.2,112115,-55.74
HCLTECH,1986148.4,3334703,67.9
HDBFS,17956579.62,3147513,-82.47
HDFCAMC,358361.9,165618,-53.78
HDFCLIQUID,12890.7,4261,-66.95
HDFCNEXT50,60721.5,190870,214.34
HDFCNIF100,114297.2,21557,-81.14
HDFCNIFBAN,468445.5,100870,-78.47
HDFCNIFIT,47253.2,305564,546.65
HDFCNIFTY,92312.8,38116,-58.71
HDFCPVTBAN,350683.1,97605,-72.17
HDFCSILVER,1103786.5,2024447,83.41
HEALTHADD,4116.2,1556,-62.2
HEG,489334.0,3208968,555.78
HEIDELBERG,277925.7,628683,126.21
HESTERBIO,1270.7,2973,133.97
HEXATRADEX,14660.2,2768,-81.12
HINDCOMPOS,5489.6,2038,-62.88
HINDCON,27034.4,82907,206.67
HINDCOPPER,5496526.0,2288493,-58.36
HINDWAREAP,86075.4,41342,-51.97
HIRECT,137399.8,51995,-62.16
HISARMETAL,3999.0,1245,-68.87
HMAAGRO,498784.6,242675,-51.35
HMVL,41182.4,16294,-60.43
HNDFDS,197181.2,33152,-83.19
HONAUT,7961.2,1464,-81.61
HPIL,8405.3,3435,-59.13
HPL,664387.0,1575367,137.12
HUHTAMAKI,481103.6,94571,-80.34
ICIL,265064.5,66975,-74.73
ICRA,21601.8,6265,-71.0
IDEA,480391891.4,939070587,95.48
IDFNIFTYET,12110.2,623,-94.86
IFCI,7800128.6,31664649,305.95
IGARASHI,136409.7,330976,142.63
IGL,4246624.8,1743595,-58.94
IKS,259287.3,48052,-81.47
IMAGICAA,680794.3,332261,-51.2
IMFA,127285.5,45158,-64.52
INDIACEM,370131.5,166893,-54.91
INDIAMART,146876.0,931241,534.03
INDIANHUME,121124.5,30566,-74.76
INDIASHLTR,964070.8,113642,-88.21
INDOAMIN,284293.6,99919,-64.85
INDOCO,83410.0,136521,63.67
INDOSTAR,186041.7,797714,328.78
INDOUS,5770.8,2798,-51.51
INDRAMEDCO,728659.1,242026,-66.78
INDTERRAIN,55305.8,25614,-53.69
INFRAIETF,598753.3,8294407,1285.28
INFY,5798601.7,9173426,58.2
INNOVACAP,48632.7,117853,142.33
INSECTICID,53479.8,95438,78.46
INTLCONV,214452.0,908778,323.77
INVENTURE,1654769.4,630643,-61.89
IONEXCHANG,111238.0,209270,88.13
IPL,529178.0,179194,-66.14
IRMENERGY,218134.9,35874,-83.55
IT,279513.0,2488695,790.37
ITBEES,6834241.6,11984085,75.35
ITDC,44932.9,17145,-61.84
ITDCEM,642379.5,314513,-51.04
ITETF,214997.9,461252,114.54
ITETFADD,14637.4,43220,195.27
ITIETF,381599.0,3131349,720.59
IVZINGOLD,304.6,2336,666.91
IVZINNIFTY,31.6,86,172.15
IXIGO,627309.2,2202380,251.08
JAGSNPHARM,150211.5,501611,233.94
JAIBALAJI,2001397.6,691603,-65.44
JAYNECOIND,1544835.2,5943875,284.76
JBMA,564634.3,200400,-64.51
JCHAC,50374.9,12952,-74.29
JETFREIGHT,66832.0,112376,68.15
JGCHEM,2231082.5,367201,-83.54
JHS,62881.3,110204,75.26
JINDALSAW,1557283.0,753086,-51.64
JINDALSTEL,1176985.4,1815311,54.23
JITFINFRA,58458.2,22879,-60.86
JKLAKSHMI,671356.7,149657,-77.71
JKPAPER,1252783.8,255896,-79.57
JKTYRE,734298.0,346955,-52.75
JLHL,34376.2,7095,-79.36
JMA,38336.7,11738,-69.38
JPPOWER,335162241.0,1033357031,208.32
JSL,664104.8,1020435,53.66
JSWINFRA,1830505.8,3064356,67.4
JTLIND,4575422.7,1810766,-60.42
JUSTDIAL,201222.3,315171,56.63
JYOTHYLAB,916249.4,246916,-73.05
JYOTICNC,2155207.4,418616,-80.58
KAKATCEM,2953.5,5201,76.1
KALAMANDIR,3016856.8,319096,-89.42
KALPATARU,2063898.44,475624,-76.96
KALYANIFRG,2336.5,662,-71.67
KALYANKJIL,4883253.9,1929247,-60.49
KAMATHOTEL,58606.3,20189,-65.55
KAMDHENU,5141239.6,776260,-84.9
KANORICHEM,20441.7,5271,-74.21
KAPSTON,11075.7,4024,-63.67
KARURVYSYA,3983521.9,1730657,-56.55
KAYNES,545152.3,231069,-57.61
KECL,218610.0,415713,90.16
KEI,300269.5,541391,80.3
KELLTONTEC,1018987.0,404514,-60.3
KHANDSE,57602.0,4552,-92.1
KICL,3056.7,1105,-63.85
KINGFA,16721.6,3364,-79.88
KIRLOSBROS,504176.0,183537,-63.6
KIRLOSENG,1189017.0,584728,-50.82
KIRLOSIND,17449.0,5412,-68.98
KKCL,149574.2,54975,-63.25
KOHINOOR,96978.9,162475,67.54
KOTHARIPET,51879.2,21416,-58.72
KPIL,307302.8,84973,-72.35
KPITTECH,948143.6,463763,-51.09
KPRMILL,815462.4,153486,-81.18
KRISHANA,211458.5,349983,65.51
KRN,1542931.9,401101,-74.0
