SYMBOL,AVG_TTL_TRD_QNTY,NEW_TTL_TRD_QNTY,PCT_DEVIATION
KRONOX,525118.2,216974,-58.68
KROSS,141526.9,225193,59.12
KSB,158302.2,584308,269.11
KSL,136414.5,43242,-68.3
KTKBANK,3204899.9,859048,-73.2
KUANTUM,124675.2,50985,-59.11
LAGNAM,17259.2,68141,294.81
LALPATHLAB,192235.5,63369,-67.04
LANDMARK,37276.7,161855,334.2
LATENTVIEW,812645.4,246540,-69.66
LAURUSLABS,2916399.4,5083453,74.31
LAXMICOT,137026.1,14993,-89.06
LAXMIDENTL,89254.6,915298,925.49
LEMONTREE,5817762.5,2526060,-56.58
LFIC,14872.4,3943,-73.49
LICNETFN50,4236.1,8212,93.86
LIQUID,257538.0,54849,-78.7
LIQUIDETF,226917.9,481194,112.06
LIQUIDIETF,791880.0,1314648,66.02
LIQUIDPLUS,96544.6,11764,-87.81
LIQUIDSBI,5903.8,1954,-66.9
LIQUIDSHRI,23489.6,6482,-72.4
LLOYDSENGG,20474644.9,6284822,-69.3
LOKESHMACH,284114.8,45808,-83.88
LOTUSEYE,51200.8,18486,-63.9
LOVABLE,34267.6,7897,-76.95
LOWVOL,4561.0,148,-96.76
LOWVOL1,160221.8,11304,-92.94
LOWVOLIETF,2943978.8,880934,-70.08
LPDC,50631.8,20265,-59.98
LTFOODS,1546239.0,544539,-64.78
LUMAXIND,18305.6,6125,-66.54
LUPIN,1250360.2,624180,-50.08
M&M,1647601.4,2958843,79.58
MADRASFERT,127704.9,56451,-55.8
MAFANG,672605.4,316937,-52.88
MAGADSUGAR,15135.8,6637,-56.15
MAGNUM,73983.5,275836,272.83
MAHKTECH,704745.6,2105972,198.83
MAHSCOOTER,10340.6,4873,-52.88
MAHSEAMLES,303869.5,149564,-50.78
MAITHANALL,62059.6,28606,-53.91
MALLCOM,10523.6,3551,-66.26
MALUPAPER,77812.4,7864,-89.89
MANAKALUCO,83785.7,21075,-74.85
MANAKCOAT,144313.4,63281,-56.15
MANALIPETC,1070099.1,497014,-53.55
MANGCHEFER,248561.0,474456,90.88
MANKIND,1172772.9,2132999,81.88
MANOMAY,11045.0,4137,-62.54
MANORAMA,115938.2,294543,154.05
MANYAVAR,314760.0,141622,-55.01
MARKSANS,926591.5,1624824,75.35
MASTEK,98621.6,41531,-57.89
MASTERTR,182817.1,49162,-73.11
MAYURUNIQ,39267.3,59907,52.56
MAZDA,511376.4,88756,-82.64
MBAPL,235997.5,676417,186.62
MCLOUD,1773489.3,2749224,55.02
MEDANTA,850560.6,330509,-61.14
MEGASTAR,20519.7,10252,-50.04
METALIETF,4318354.8,1752244,-59.42
METROBRAND,77114.3,27382,-64.49
METROPOLIS,300035.1,116635,-61.13
MGEL,3304491.4,1510081,-54.3
MGL,697724.5,306932,-56.01
MID150,27097.4,9528,-64.84
MID150BEES,909872.4,453454,-50.16
MIRZAINT,326951.4,109384,-66.54
MITTAL,2156135.6,676042,-68.65
MMFL,57088.4,27545,-51.75
MMP,74471.1,26356,-64.61
MNC,166997.2,69434,-58.42
MOALPHA50,44393.0,4712,-89.39
MODTHREAD,930.7,5883,532.1
MOGSEC,22270.0,6938,-68.85
MOKSH,410746.4,1592389,287.68
MOLDTKPAC,59284.5,28377,-52.13
MOLOWVOL,186451.8,3417,-98.17
MOMENTUM,114235.6,56291,-50.72
MON50EQUAL,1818.0,3297,81.35
MONEXT50,3242.7,1035,-68.08
MONQ50,103925.8,304336,192.84
MOPSE,308.62,129,-58.2
MOTHERSON,7586015.7,12643715,66.67
MOTILALOFS,2576344.6,869283,-66.26
MOTOGENFIN,11499.1,4296,-62.64
MOTOUR,3413.9,1566,-54.13
MOVALUE,141256.9,57492,-59.3
MRPL,5666585.5,1357590,-76.04
MSCIINDIA,137886.2,3121,-97.74
MTNL,3438919.0,23212166,574.98
MUFTI,130057.5,263618,102.69
MUKANDLTD,837831.2,171833,-79.49
MUNJALAU,429119.3,129346,-69.86
MUTHOOTMF,719261.2,322399,-55.18
NAGREEKCAP,4061.4,952,-76.56
NAGREEKEXP,9232.7,14097,52.69
NARMADA,62522.0,23845,-61.86
NATCOPHARM,2068149.6,876625,-57.61
NAUKRI,1498504.8,3466969,131.36
NAVKARCORP,230752.1,1123205,386.76
NAVNETEDUL,96688.9,306311,216.8
NAZARA,763582.2,301773,-60.48
NBIFIN,1053.3,437,-58.51
NCC,3399721.8,8742459,157.15
NDLVENTURE,69446.2,4193,-93.96
NDRAUTO,112177.8,43642,-61.1
NELCAST,169004.9,78559,-53.52
NELCO,135248.8,213834,58.1
NESCO,134566.6,59794,-55.57
NETWEB,532194.7,948870,78.29
NEULANDLAB,56392.3,1212750,2050.56
NEXT30ADD,29657.5,2460,-91.71
NEXT50IETF,1231702.3,595198,-51.68
NEXTMEDIA,24657.0,126691,413.81
NIF100BEES,23372.0,37625,60.98
NIF100IETF,280975.1,110532,-60.66
NIF10GETF,7539.7,426,-94.35
NIF5GETF,3692.0,1435,-61.13
NIFTYBETF,106019.7,2296,-97.83
NIFTYQLITY,197014.3,42699,-78.33
NIITLTD,378345.5,156180,-58.72
NILAINFRA,1630600.7,5601993,243.55
NILASPACES,1374860.5,2554941,85.83
NINSYS,5565.2,1770,-68.2
NIPPOBATRY,7257.1,2845,-60.8
NITIRAJ,4681.6,8152,74.13
NKIND,578.7,14,-97.58
NOCIL,718525.5,220969,-69.25
NV20,23948.3,10758,-55.08
NV20BEES,152874.5,18459,-87.93
NV20IETF,385752.1,694249,79.97
NYKAA,14859394.0,5706960,-61.59
OAL,13310.1,5949,-55.3
OBEROIRLTY,415333.7,956003,130.18
OILCOUNTUB,48152.6,23916,-50.33
OILIETF,2492611.6,1091526,-56.21
OLAELEC,36343096.9,597328587,1543.58
OLECTRA,524468.9,196044,-62.62
OMAXAUTO,190871.6,1442183,655.58
OMAXE,923851.0,209058,-77.37
ONESOURCE,206428.6,62055,-69.94
ORIENTCEM,705206.0,226402,-67.9
ORIENTCER,193430.0,90152,-53.39
ORIENTHOT,184023.1,855548,364.91
ORIENTLTD,4855.8,11309,132.9
ORIENTTECH,314052.5,153952,-50.98
OSWALAGRO,187637.4,483190,157.51
OSWALGREEN,297294.4,753888,153.58
OSWALPUMPS,1948776.8,966259,-50.42
PAGEIND,21491.3,34775,61.81
PAISALO,11195398.0,5465531,-51.18
PAKKA,344566.2,102801,-70.17
PALASHSECU,2654.0,4216,58.85
PARADEEP,3018189.2,5005074,65.83
PARAGMILK,1486256.9,547577,-63.16
PARAS,1510001.1,673317,-55.41
PARSVNATH,7043725.8,15022494,113.27
PATANJALI,1178385.7,353045,-70.04
PATINTLOG,404263.0,83827,-79.26
PAYTM,3106439.4,6059678,95.07
PCJEWELLER,185652159.0,59139288,-68.15
PDSL,206738.8,55748,-73.03
PEL,623346.6,5344893,757.45
PENIND,677710.5,258436,-61.87
PENINLAND,2821614.2,758817,-73.11
PFIZER,57447.4,24273,-57.75
PFOCUS,3393583.3,5189268,52.91
PHOENIXLTD,980469.1,415627,-57.61
PLASTIBLEN,21766.2,75843,248.44
POKARNA,96663.5,31133,-67.79
PPLPHARMA,3419494.1,11733938,243.15
PRAENG,114317.1,186972,63.56
PRECAM,382976.3,108433,-71.69
PRECWIRE,176390.1,1154148,554.32
PRESTIGE,661347.5,1241272,87.69
PRIMESECU,56490.7,170910,202.55
PRITI,15764.1,5938,-62.33
PRITIKAUTO,221799.3,445831,101.01
PROTEAN,473879.3,711007,50.04
PRSMJOHNSN,943803.1,169604,-82.03
PRUDENT,27031.9,12644,-53.23
PSUBANK,91611.0,13343,-85.44
PSUBANKADD,20028.6,1013254,4959.04
PSUBNKIETF,262403.3,74881,-71.46
PUNJABCHEM,9384.2,41309,340.2
PURVA,293248.8,94085,-67.92
PVP,421383.5,200288,-52.47
PVSL,80931.7,167667,107.17
PVTBANIETF,730159.0,3839910,425.9
PVTBANKADD,36544.2,7669,-79.01
QUAL30IETF,445715.9,61977,-86.09
QUICKHEAL,1111652.9,157465,-85.84
RACLGEAR,6239.2,2687,-56.93
RADIANTCMS,271055.7,512989,89.26
RADICO,205672.9,425929,107.09
RADIOCITY,111027.0,42993,-61.28
RAINBOW,210092.0,418699,99.29
RAJOOENG,783128.5,2968790,279.09
RALLIS,533996.6,4907703,819.05
RAMCOCEM,539671.3,1181988,119.02
RAMCOIND,179357.4,76717,-57.23
RANEHOLDIN,6898.9,16277,135.94
RATEGAIN,833408.9,287939,-65.45
RATNAMANI,132685.0,14013,-89.44
RAYMOND,6258825.3,399397,-93.62
RAYMONDLSL,1087447.1,158106,-85.46
RBA,960886.1,459966,-52.13
REDTAPE,695806.5,298945,-57.04
RELAXO,1823019.1,356498,-80.44
RELCHEMQ,16775.3,3908,-76.7
RELIGARE,3313430.6,6434367,94.19
REPRO,17269.7,8558,-50.44
RESPONIND,294288.7,66475,-77.41
RGL,240260.9,112354,-53.24
RHIM,339188.8,83913,-75.26
RHL,19205.3,4679,-75.64
RITES,3819575.9,973588,-74.51
RML,23980.2,11011,-54.08
ROSSELLIND,38802.0,18871,-51.37
ROUTE,117052.9,52389,-55.24
RRKABEL,152722.8,614094,302.1
RSYSTEMS,150822.9,69170,-54.14
RUBFILA,157683.9,51692,-67.22
RUCHIRA,123847.6,43138,-65.17
RUSTOMJEE,130921.3,19197,-85.34
RVHL,18845.7,29493,56.5
SABTNL,5254.4,1454,-72.33
SADBHAV,351030.4,1041918,196.82
SAFARI,14586.0,35553,143.75
SAGARDEEP,9253.3,20901,125.88
SAIL,12569785.9,5395689,-57.07
SAILIFE,1291605.6,2145873,66.14
SAKHTISUG,196438.4,79309,-59.63
SAKSOFT,3720679.3,649027,-82.56
SALONA,27540.7,67092,143.61
SALSTEEL,103640.3,41707,-59.76
SAMMAANCAP,21706428.1,7660251,-64.71
SAMPANN,20037.6,6925,-65.44
SANATHAN,228297.1,79637,-65.12
SANDESH,1377.8,523,-62.04
SANOFI,13107.0,3793,-71.06
SANOFICONR,21510.9,9517,-55.76
SANSTAR,899073.8,206701,-77.01
SAPPHIRE,2945051.4,112119,-96.19
SARVESHWAR,8726977.6,28666938,228.49
SATIN,315140.8,105198,-66.62
SBCL,81197.1,264558,225.82
SBIBPB,29137.4,5774,-80.18
SBICARD,1349990.2,3790595,180.79
SBIETFCON,5026.0,9428,87.58
SBIETFIT,5772.8,247488,4187.14
SBIETFQLTY,73335.8,6029,-91.78
SBILIFE,817059.3,1231109,50.68
SBISILVER,1488170.0,423031,-71.57
SCODATUBES,1788751.7,8646097,383.36
SCPL,9358.9,3016,-67.77
SDL26BEES,4529.7,700,-84.55
SELECTIPO,23851.1,5260,-77.95
SENCO,769509.0,229413,-70.19
SENSEXETF,8269.9,27610,233.86
SETF10GILT,16780.0,7760,-53.75
SETFNIFBK,164514.0,9203,-94.41
SETFNN50,23104.5,39642,71.58
SGIL,113951.22,22000,-80.69
SHAHALLOYS,40615.11,6022,-85.17
SHALBY,95526.56,189958,98.85
SHALPAINTS,94335.56,27952,-70.37
SHANTIGEAR,66619.56,25785,-61.3
SHARDAMOTR,246584.78,79705,-67.68
SHARIABEES,7535.44,14362,90.59
SHRADHA,22214.89,10026,-54.87
SHREEPUSHK,238942.67,54542,-77.17
SIGACHI,21454316.22,6436018,-70.0
SIGNPOST,1443565.78,283672,-80.35
SIKKO,58341.89,10591,-81.85
SILLYMONKS,112462.67,186614,65.93
SILVER360,5289.11,8488,60.48
SILVERADD,455185.78,1100325,141.73
SILVERBEES,12060975.56,21780109,80.58
SILVERETF,330503.78,1124252,240.16
SILVERTUC,41078.89,4030,-90.19
SINDHUTRAD,10074219.89,3102982,-69.2
SINTERCOM,7436.22,28758,286.73
SIRCA,485518.33,847500,74.56
SIYSIL,462991.33,63347,-86.32
SKFINDIA,93452.67,39141,-58.12
SMARTLINK,7133.56,3496,-50.99
SMCGLOBAL,361883.33,130007,-64.07
SMLT,15936.78,5389,-66.19
SMSPHARMA,82566.1,30628,-62.9
SNXT30BEES,9208.1,4285,-53.46
SOBHA,313217.5,650986,107.84
SOMANYCERA,33386.3,11119,-66.7
SOMATEX,159298.0,65507,-58.88
SOMICONVEY,17256.4,4160,-75.89
SONAMLTD,45024.1,119702,165.86
SONATSOFTW,2396066.3,667289,-72.15
SPAL,40269.4,104250,158.88
SPANDANA,196593.4,900503,358.05
SPLPETRO,37767.2,13058,-65.43
SRGHFL,3947.8,137,-96.53
SSWL,465291.7,157780,-66.09
STAR,398884.9,787706,97.48
STARCEMENT,152540.8,64126,-57.96
STARHEALTH,1049370.9,277253,-73.58
STARTECK,9979.8,23252,132.99
STEL,2163.3,7335,239.07
STLTECH,6301366.0,2167786,-65.6
STYLEBAAZA,580221.0,74733,-87.12
STYRENIX,21713.2,33551,54.52
SUBROS,298409.2,114522,-61.62
SULA,175034.0,495877,183.3
SUMICHEM,524769.1,195634,-62.72
SUNCLAY,6402.3,2654,-58.55
SUNDARMHLD,187834.5,88201,-53.04
SUNDRMFAST,168951.2,297988,76.38
SUNDROP,13301.1,4556,-65.75
SUNFLAG,668537.8,273533,-59.08
SUPERHOUSE,5670.7,8907,57.07
SUPERSPIN,198059.5,406725,105.35
SUPRAJIT,104370.9,222553,113.23
SUPREME,243212.3,24031,-90.12
SUPREMEIND,151825.8,263406,73.49
SURAJEST,88401.7,210269,137.86
SURAJLTD,9756.7,739,-92.43
SURYALAXMI,71484.5,11369,-84.1
SURYAROSNI,237720.9,431850,81.66
SURYODAY,228786.4,103238,-54.88
SYMPHONY,78952.8,30361,-61.55
SYNGENE,620640.6,1489769,140.04
TARSONS,38892.2,16102,-58.6
TASTYBITE,4364.7,1482,-66.05
TATATECH,1062089.4,1716880,61.65
TATSILV,2992792.8,5961966,99.21
TATVA,79412.6,30437,-61.67
TBZ,351400.9,105372,-70.01
TCI,59927.1,25039,-58.22
TEAMLEASE,24233.1,11549,-52.34
TECH,22043.1,2408694,10827.2
TECHNOE,270580.4,500637,85.02
TEGA,174368.2,499557,186.5
TEXINFRA,119338.2,54971,-53.94
TEXMOPIPES,109449.3,31378,-71.33
THEINVEST,21758.7,7904,-63.67
THEJO,15778.1,7828,-50.39
THYROCARE,67607.1,410425,507.07
TI,614268.1,1021170,66.24
TIIL,24667.2,10016,-59.4
TIMKEN,84950.7,217060,155.51
TIPSMUSIC,154884.3,57639,-62.79
TIRUMALCHM,459394.6,216076,-52.97
TMB,72742.7,35038,-51.83
TNIDETF,61362.9,369369,501.94
TNPL,336127.3,139215,-58.58
TOKYOPLAST,5263.6,20747,294.16
TOLINS,152116.7,44280,-70.89
TOP10ADD,188167.6,579229,207.83
TOTAL,7145.2,3258,-54.4
TRANSRAILL,4787652.7,1961188,-59.04
TRANSWORLD,20842.5,6868,-67.05
TRENT,1812499.8,829406,-54.24
TRIDENT,14790963.1,5178910,-64.99
TRITURBINE,1309516.6,541862,-58.62
TTKHLTCARE,7588.5,19824,161.24
TTKPRESTIG,46723.2,20112,-56.96
TVSHLTD,10887.3,20111,84.72
TVSMOTOR,603105.1,1072824,77.88
TVSSRICHAK,25779.5,4277,-83.41
UCAL,40258.0,11166,-72.26
UGARSUGAR,271543.9,114025,-58.01
UGROCAP,636998.5,193496,-69.62
UJJIVANSFB,10583020.4,18368147,73.56
UNIENTER,8655.4,2779,-67.89
UNIONGOLD,919.8,4626,402.94
UNITEDPOLY,809200.3,96333,-88.1
UNITEDTEA,3824.6,13087,242.18
UNIVASTU,141460.7,760570,437.65
USHAMART,495562.7,1995415,302.66
UTIAMC,484995.8,232962,-51.97
UTIBANKETF,1373507.4,30669,-97.77
UYFINCORP,525515.5,96263,-81.68
VAL30IETF,72015.6,210185,191.86
VARROC,178395.7,82923,-53.52
VASWANI,696724.3,1403550,101.45
VEDL,12097609.9,5611380,-53.62
VENTIVE,555315.3,81562,-85.31
VENUSPIPES,310936.0,114923,-63.04
VGUARD,262781.4,92208,-64.91
VIJIFIN,154419.0,304085,96.92
VIMTALABS,154482.1,59639,-61.39
VINCOFE,2569586.4,1095866,-57.35
VIPIND,1063543.4,11409909,972.82
VIRINCHI,1002570.4,1888994,88.42
VISHNU,103485.8,46270,-55.29
VIVIDHA,348742.6,1277759,266.39
VMART,132532.1,53211,-59.85
VMM,15237095.5,58160932,281.71
VPRPL,293159.4,5544891,1791.43
VRAJ,20627.3,41073,99.12
VSSL,64084.3,21303,-66.76
VSTTILLERS,53679.8,12998,-75.79
VTL,1228353.1,143800,-88.29
WCIL,892447.9,374400,-58.05
WEALTH,6910.1,13731,98.71
WEBELSOLAR,103709.8,176292,69.99
WEIZMANIND,17231.6,3535,-79.49
WEL,593147.4,1754719,195.83
WESTLIFE,128850.4,27754,-78.46
WEWIN,3133.6,7660,144.45
WHEELS,54760.4,19763,-63.91
WILLAMAGOR,37351.1,7812,-79.08
WIPL,3079.3,1508,-51.03
WOCKPHARMA,961259.0,2002631,108.33
WORTH,11061.1,19506,76.35
WSTCSTPAPR,154309.4,53185,-65.53
XELPMOC,11090.5,3378,-69.54
XPROINDIA,32949.5,7622,-76.87
YUKEN,14997.2,3098,-79.34
ZEEL,18484603.2,31345967,69.58
ZENITHEXPO,1860.5,3656,96.51
ZODIACLOTH,20011.0,6260,-68.72
ZOTA,330585.7,124012,-62.49
ZYDUSLIFE,866771.6,1409414,62.61
ZYDUSWELL,39930.9,79639,99.44
